frame_id,theta_h,theta_v,distance_cm,timestamp
frame_000000.jpg,-3.2321,0.0000,30,1762724908.927802
frame_000001.jpg,-2.0600,0.0000,30,1762724908.930363
frame_000002.jpg,-0.8862,0.0000,30,1762724909.004284
frame_000003.jpg,0.2884,0.0000,30,1762724909.152173
frame_000004.jpg,1.4627,0.0000,30,1762724909.2379808
frame_000005.jpg,2.8233,0.0000,30,1762724909.332795
frame_000006.jpg,3.9938,0.0000,30,1762724909.440591
frame_000007.jpg,5.1609,0.0000,30,1762724909.535444
frame_000008.jpg,6.3237,0.0000,30,1762724909.637582
frame_000009.jpg,7.4814,0.0000,30,1762724909.736235
frame_000010.jpg,8.6214,0.0000,30,1762724909.831434
frame_000011.jpg,9.7660,0.0000,30,1762724909.932102
frame_000012.jpg,10.9028,0.0000,30,1762724910.032183
frame_000013.jpg,12.0310,0.0000,30,1762724910.1287072
frame_000014.jpg,13.1498,0.0000,30,1762724910.236772
frame_000015.jpg,14.2584,0.0000,30,1762724910.341374
frame_000016.jpg,15.3672,0.0000,30,1762724910.4339252
frame_000017.jpg,16.4320,0.0000,30,1762724910.533843
frame_000018.jpg,17.4638,0.0000,30,1762724910.6335511
frame_000019.jpg,16.3563,0.0000,30,1762724910.742332
frame_000020.jpg,15.2908,0.0000,30,1762724910.8362172
frame_000021.jpg,14.1922,0.0000,30,1762724910.936175
frame_000022.jpg,13.0941,0.0000,30,1762724911.0340512
frame_000023.jpg,11.9748,0.0000,30,1762724911.1469262
frame_000024.jpg,10.8235,0.0000,30,1762724911.246924
frame_000025.jpg,9.6861,0.0000,30,1762724911.3465862
frame_000026.jpg,8.5755,0.0000,30,1762724911.444923
frame_000027.jpg,7.3890,0.0000,30,1762724911.547037
frame_000028.jpg,6.2657,0.0000,30,1762724911.645138
frame_000029.jpg,5.1026,0.0000,30,1762724911.7445529
frame_000030.jpg,3.7482,0.0000,30,1762724911.845808
frame_000031.jpg,2.5772,0.0000,30,1762724911.943091
frame_000032.jpg,1.4040,0.0000,30,1762724912.0455801
frame_000033.jpg,0.2296,0.0000,30,1762724912.145762
frame_000034.jpg,-0.9449,0.0000,30,1762724912.2453911
frame_000035.jpg,-2.1187,0.0000,30,1762724912.342983
frame_000036.jpg,-3.2907,0.0000,30,1762724912.4464629
frame_000037.jpg,-4.4599,0.0000,30,1762724912.558511
